,title,price,date,review
108,세가 2020 도쿄 올림픽 -The Official Video Game SWITCH,"38,910",2019.07,140
109,Nintendo 포켓몬스터: 레츠고! 이브이 SWITCH,"44,840",2018.11,307
110,코에이 테크모 젤다무쌍 대재앙의 시대 익스팬션 패스 SWITCH,"23,513",2020.11,1
111,그래스호퍼 매뉴팩처 트래비스 스트라이크스 어게인: 노 모어 히어로즈 SWITCH,"33,820",2019.01,5
112,Nintendo 피크민 3 디럭스 SWITCH,"53,990",2020.10,227
113,Furyu 도라에몽 진구의 달탐사기 SWITCH,"29,780",2020.04,12
114,2K 게임즈 엑스컴2 컬렉션 SWITCH,"25,110",2020.05,21
115,KONAMI 콘트라 로그 콥스 SWITCH,"9,790",2019.09,48
116,HB Studios PGA 투어 2K21 SWITCH,"23,510",2020.09,32
117,아크 시스템 웍스 길티기어 20주년 기념팩 SWITCH,"16,560",2019.05,24
118,팔콤 영웅전설 제로의 궤적 Kai SWITCH,"32,290",2021.02,54
119,넥스트플로어 창세기전: 회색의 잔영 SWITCH,출시예정,2022.12,0
120,Nintendo 제노블레이드 크로니클스 2 황금의 나라 이라 SWITCH,"41,990",2018.09,3
121,니폰이치 소프트웨어 마계전기 디스가이아 5 SWITCH,"38,990",2017.12,9
122,반다이남코 엘든 링 SWITCH,출시예정,2022.01,0
123,2K 게임즈 WWE 2K 배틀그라운드 SWITCH,"19,250",2020.09,37
124,Nintendo 51 월드와이드 게임즈 SWITCH,"44,352",2020.06,14
125,아크 시스템 웍스 블레이블루 크로스 태그 배틀 스페셜 에디션 SWITCH,"9,800",2019.11,13
126,THQ 레드 팩션 게릴라 리마스터 SWITCH,"32,720",2019.07,20
127,플라이하이 웍스 디모 SWITCH,"39,590",2018.10,12
128,일본 컬롬비아 스미코구라시 모여 봐요! 스미코 타운 SWITCH,"46,180",2021.04,21
129,Nintendo 마리오 골프 슈퍼 러쉬 + 골프 그립 패키지 SWITCH,"68,600",2021.06,1
130,반다이남코 에이스 앵글러 낚시 스피릿 SWITCH,"41,470",2020.07,99
131,스퀘어에닉스 킹덤하츠 멜로디 오브 메모리 SWITCH,"17,790",2020.11,27
132,니폰이치 소프트웨어 거짓말쟁이 공주와 눈 먼 왕자 SWITCH,"21,910",2018.08,64
133,세가 퍼펙트! 슈퍼 몽키 볼 1&2 리메이크 SWITCH,"36,150",2021.10,0
134,니폰이치 소프트웨어 마계전기 디스가이아 리파인 SWITCH,"21,740",2018.09,97
135,THQ 네모바지 스폰지밥: 비키니 시티의 전쟁 리하이드레이티드 SWITCH,"29,730",2020.06,64
136,마벨러스 엔터테인먼트 목장이야기: 올리브 타운과 희망의 대지 SWITCH,"48,820",2021.02,102
137,Nintendo 케이던스 오브 하이랄: 크립트 오브 더 네크로댄서 feat. 젤다의 전설 SWITCH,"29,740",2020.10,21
138,코에이 테크모 삼국지 14 with 파워업키트 SWITCH,"75,800",2020.12,71
139,레드 훅 스튜디오 다키스트 던전 SWITCH,"59,000",2018.01,0
140,1C ENTERTAINMENT 킹스 바운티2 SWITCH,출시예정,2021.08,0
141,반다이남코 슈퍼로봇대전 V SWITCH,"47,180",2019.10,103
142,세가 테트리스 99 SWITCH,"24,650",2019.07,64
143,팔콤 영웅전설 벽의 궤적 Kai SWITCH,"33,000",2021.04,30
144,Animu Game 팬티파티 완전체 SWITCH,"34,790",2020.11,6
145,Nintendo 포켓몬스터 소드 익스팬션 패스 SWITCH,"94,700",2020.11,67
146,프롬 소프트웨어 다크소울 리마스터 SWITCH,"45,800",2018.10,10
147,칼립소 미디어 포트 로얄 4 SWITCH,"45,000",2021.05,3
148,반다이남코 슈퍼로봇대전 30 SWITCH,출시예정,2021.10,0
149,Production Exabilities 윙 오브 다크니스 유익의 프로일라인 SWITCH,"29,590",2021.06,9
150,컴파일하트 신차원 게임 넵튠 VII SWITCH,"28,860",2020.06,14
151,Nintendo 마블 얼티메이트 얼라이언스 3: 더 블랙 오더 SWITCH,"47,590",2019.07,191
152,팔콤 영웅전설 섬의 궤적 2: Kai -The Erebonian Civil War- SWITCH,출시예정,2021.08,0
153,아틀러스 페르소나 5 스크램블 더 팬텀 스트라이커즈 SWITCH,"52,330",2020.06,45
154,반다이남코 에이스 앵글러 낚시 스피릿 + 피싱 컨트롤러 패키지 SWITCH,"52,460",2020.07,110
155,캡콤 데빌 메이 크라이 트리플팩 SWITCH,"54,970",2021.05,1
156,블리자드 오버워치 레전더리 에디션 SWITCH,"36,720",2019.10,119
157,ACE Team 락 오브 에이지3 SWITCH,"9,750",2020.07,10
158,반다이남코 태고의 달인 쿵딱! 두 가지 RPG 대모험 + 북 컨트롤러 패키지 SWITCH,"78,530",2020.11,5
159,리자드큐브 베어 너클 4 SWITCH,"38,000",2020.07,108
160,Kadokawa 러브R KISS SWITCH,"128,010",2020.02,0
161,D3 퍼블리셔 동~그란 지구가 네모가 됐다고! 디지복셀 지구방위군 SWITCH,"48,830",2021.05,5
162,Nintendo 포켓몬 레전드 아르세우스 SWITCH,출시예정,2022.01,0
163,타이토 버블보블 4 프렌즈 SWITCH,"41,710",2019.12,252
164,팔콤 이스 8 ~라크리모사 오브 다나~ SWITCH,"52,480",2020.05,75
165,캡콤 레지던트이블 트리플팩 SWITCH,"62,530",2021.05,0
166,Furyu 얼라이언스 얼라이브 HD 리마스터드 SWITCH,"25,000",2019.10,48
167,그래스호퍼 매뉴팩처 트래비스 스트라이크스 어게인: 노 모어 히어로즈 시즌패스 SWITCH,"9,900",2019.01,0
168,Nintendo 1-2 스위치 SWITCH,"45,320",2017.12,192
169,Nintendo 캡틴 토드: 트레져 트래커 스페셜 에피소드 SWITCH,"52,272",2019.02,6
170,Nintendo 즐거움을 나눠라 메이드 인 와리오 SWITCH,출시예정,2021.09,0
171,칼립소 프로젝트 하이라이즈 아키텍트 에디션 SWITCH,"13,800",2019.04,5
172,블리자드 디아블로 3 이터널 컬렉션 SWITCH,"78,790",2018.11,37
173,Nintendo 마리오 파티 슈퍼스타즈 SWITCH,출시예정,2021.10,0
174,코센 방랑자 프랑켄슈타인의 창조물 SWITCH,"27,930",2021.05,2
175,반다이남코 드래곤볼 Z 카카로트 + 새로운 각성 편 SWITCH,출시예정,2021.09,0
176,타이토 동방스펠버블 SWITCH,"52,090",2020.10,14
177,캡콤 캡콤 벨트 액션 콜렉션 SWITCH,"30,410",2018.12,106
178,반다이남코 태고의 달인 쿵딱! 두 가지 RPG 대모험 SWITCH,"43,430",2020.11,81
179,Nintendo 포켓몬스터 실드 익스팬션 패스 SWITCH,"89,290",2020.11,33
180,Nintendo 포켓몬스터 브릴리언트 다이아몬드 SWITCH,출시예정,2021.11,0
181,타이푼 스튜디오 저니 투 더 새비지 플래닛 SWITCH,"13,610",2020.08,5
182,CD프로젝트레드 더 위쳐 3: 와일드 헌트 컴플리트 에디션 SWITCH,"101,820",2019.10,458
183,캡콤 울트라 스트리트 파이터 2 SWITCH,"59,000",2017.05,2
184,반다이남코 괴혼 ~굴려라 돌아온 왕자님~ SWITCH,"27,280",2021.01,154
185,레벨 파이브 스낵월드 트레저러스 골드 SWITCH,"45,380",2019.04,69
186,마벨러스 엔터테인먼트 데몬 엑스 마키나 SWITCH,"51,780",2019.09,28
187,DigitalCrafter 파이트 오브 애니멀즈 SWITCH,"22,150",2021.04,5
188,포켓 핑크 홈 피트 SWITCH,"61,630",2020.10,0
189,H2 Interactive 알렉스 키드 인 미라클 월드 DX SWITCH,"95,000",2021.06,22
190,팔콤 영웅전설 시작의 궤적 SWITCH,출시예정,2021.08,0
191,코에이 테크모 페어리 테일 SWITCH,"44,700",2020.07,42
192,반다이남코 SD건담 지 제네레이션 제네시스 SWITCH,"54,800",2021.03,12
193,Metronomik 노 스트레이트 로드 SWITCH,"8,590",2020.08,34
194,Nintendo 포켓몬스터 소드&실드 더블팩 SWITCH,"129,600",2019.11,151
195,Furyu 모나크 SWITCH,출시예정,2021.10,0
196,킬로톤 게임즈 WRC 9 SWITCH,"45,220",2021.04,2
197,레벨 파이브 레이튼 미스터리 저니: 일곱 대부호의 음모 DX SWITCH,"49,000",2019.03,1
198,니폰이치 소프트웨어 클로즈드 나이트메어 SWITCH,"11,260",2018.07,0
199,Nintendo 포켓몬스터 샤이닝 펄 SWITCH,출시예정,2021.11,0
200,거스트 리디 & 수르의 아틀리에 ~ 신비한 그림의 연금술사 ~ SWITCH,"26,040",2018.03,87
201,Nintendo 포켓몬 불가사의 던전 구조대 DX SWITCH,"32,690",2020.03,2
202,팔콤 이스 오리진 SWITCH,"35,820",2020.10,71
203,SNK 사무라이 쇼다운 네오지오 컬렉션 SWITCH,"40,500",2020.07,38
204,Nintendo 피트니스 복싱 SWITCH,"49,290",2018.12,477
205,아틀러스 진 여신전생 5 SWITCH,출시예정,2021.11,0
206,딥 실버 맨이터 SWITCH,"37,280",2021.05,4
207,아크 시스템 웍스 월즈 엔드 클럽 SWITCH,"46,120",2021.05,12
208,PrimaryOrbit 메르헨 포레스트 SWITCH,"32,270",2021.01,7
209,Kadokawa 갓 워즈 더 컴플리트 레전드 SWITCH,"29,800",2018.09,9
210,Nintendo 베요네타 2 SWITCH,"84,050",2018.02,14
211,EA 피파 20 SWITCH,"59,800",2019.09,24
212,반다이남코 미스터 드릴러 드릴랜드 SWITCH,"27,280",2020.06,44
213,Nintendo 메트로이드 드레드 SWITCH,출시예정,2021.10,0
214,세가 전장의 발큐리아 4 SWITCH,"55,000",2018.09,3
215,유비소프트 마리오 + 래비드 킹덤 배틀 SWITCH,"109,130",2018.01,10
216,니폰이치 소프트웨어 마계전기 디스가이아 4 리턴 SWITCH,"39,790",2020.04,20
217,테일즈샵 방구석에 인어아가씨 SWITCH,"27,880",2019.02,12
218,테크모 닌자 가이덴: 마스터 컬렉션 SWITCH,"52,960",2021.06,1
219,일본 컬롬비아 프리티 프린세스 매지컬 코디네이트 SWITCH,"39,780",2020.04,8
220,니폰이치 소프트웨어 매드 래트 데드 SWITCH,"55,610",2020.10,9
221,로켓펀치게임즈 하드코어 메카: 파이터 에디션 SWITCH,"44,940",2020.10,29
222,WFS 피싱 스타 월드 투어 SWITCH,"34,340",2020.03,57
223,브레이크포인트 스튜디오 테니스 월드 투어 SWITCH,"22,800",2018.06,39
224,Kadokawa 메탈 맥스 제노 리본 SWITCH,"37,450",2020.12,5
225,아크 시스템 웍스 열혈경파 쿠니오군 외전 리버 시티 걸즈 SWITCH,"35,500",2019.09,21
226,아크 시스템 웍스 폴른 레기온 -영광의 계보- SWITCH,"34,810",2018.07,2
227,유비소프트 저스트 댄스 2018 SWITCH,"88,730",2017.12,9
228,KONAMI 이베이스볼 파워풀 프로야구 2020 SWITCH,"49,000",2020.07,0
229,505게임즈 테라리아 SWITCH,"25,000",2020.07,0
230,팀 17 서바이벌리스트 SWITCH,"9,750",2020.10,8
231,505게임즈 줌바 번 잇 업 SWITCH,"45,660",2019.11,66
232,컴파일하트 용사 넵튠 -세계여 우주여 주목하라! 얼티밋 RPG 선언!! SWITCH,"20,710",2019.07,8
233,505게임즈 블러드스테인드: 리츄얼 오브 더 나이트 SWITCH,"26,500",2019.06,157
234,도쿄RPG팩토리 오니나키: 오니가 우는 나라 SWITCH,"40,920",2020.08,18
235,스퀘어에닉스 드래곤 퀘스트 빌더즈 2 ~ 파괴신 시드와 텅 빈 섬 SWITCH,"85,340",2019.08,156
236,코에이 테크모 진격의 거인 2 파이널 배틀 SWITCH,"58,000",2019.07,50
237,넥스트플로어 베리드 스타즈 SWITCH,"91,790",2020.07,24
238,반다이남코 테일즈 오브 베스페리아 리마스터 SWITCH,"140,730",2019.01,18
239,반다이남코 리틀 나이트메어 SWITCH,"28,090",2018.05,8
240,반다이 점프 포스 SWITCH,"58,060",2020.08,28
241,와이어드 프로덕션 아비치 인벡터 : 앙코르 에디션 SWITCH,"31,170",2020.09,4
242,MLB RBI Baseball 20 SWITCH,"55,900",2020.03,0
243,도쿄RPG팩토리 로스트 스피어 SWITCH,"32,990",2021.01,11
244,팀 체리 할로우 나이트 SWITCH,"29,890",2019.12,6
245,제로디브 사이쿄 컬렉션 Vol.2 SWITCH,"34,990",2018.11,38
246,제로디브 사이쿄 컬렉션 Vol.1 SWITCH,"31,970",2018.09,29
247,Furyu 칼리굴라 2 SWITCH,출시예정,2021.09,0
248,CFK 홍마성 레밀리아 비색의 교향곡 SWITCH,출시예정,2021.12,0
249,Nintendo 캡틴 토드: 트레져 트래커 SWITCH,"43,670",2018.07,1
250,리벨리온 디벨롭먼트 좀비 아미 트릴로지 SWITCH,"62,220",2020.03,0
251,도쿄RPG팩토리 제물과 눈의 세츠나 SWITCH,"39,230",2020.10,1
252,WayForward 샨테와 일곱 사이렌 SWITCH,"38,060",2020.10,24
253,나츠메 릴 피싱 로드 트립 어드벤처 SWITCH,"29,250",2020.06,5
254,컴파일하트 신옥탑 메리스켈터 2 SWITCH,"171,110",2019.08,55
255,EA 니드 포 스피드: 핫 퍼슈트 리마스터 SWITCH,"27,040",2020.11,19
256,스퀘어에닉스 성검전설 3 트라이얼스 오브 마나 SWITCH,"48,980",2020.04,213
257,Fishing Cactus 아리와 사계절의 비밀 SWITCH,"13,830",2020.09,18
258,코에이 테크모 데드 오어 얼라이브 익스트림3 스칼렛 SWITCH,"59,800",2019.03,3
259,인티 크리에이츠 걸 건 2 SWITCH,"46,290",2018.06,14
260,Nintendo 폭권 토너먼트 DX,"71,990",2017.09,11
261,반다이남코 디지몬 스토리: 사이버 슬루스 해커스 메모리 SWITCH,"119,790",2019.10,0
262,WFS 피싱 스타 월드 투어 + 피싱 컨트롤러 패키지 SWITCH,"42,550",2020.03,8
263,D3 퍼블리셔 오메가 라비린스 라이프 SWITCH,"51,420",2019.08,53
264,팀 17 오버쿡 1&2 번들 SWITCH,"54,900",2019.12,30
265,코에이 테크모 젤다무쌍 하이랄의 전설들 DX SWITCH,"67,380",2018.03,18
266,아크 시스템 웍스 블레이블루 크로스 태그 배틀 SWITCH,"12,780",2018.05,2
267,스퀘어에닉스 성검전설 콜렉션 SWITCH,"46,530",2017.06,1
268,HAL Laboratory 열일하는 UFO SWITCH,"9,801",2020.11,2
269,이온 랜드 클라우드펑크 SWITCH,"31,870",2020.11,8
270,마이크로이드 아스테릭스 & 오벨릭스 XXL 2 SWITCH,"22,500",2019.01,0
271,세가 테트리스 99 시즌패스 컴플리트 패키지 SWITCH,"9,900",2019.05,3
272,Nintendo 케이던스 오브 하이랄: 크립트 오브 더 네크로댄서 feat. 젤다의 전설 시즌 패스 SWITCH,"14,850",2019.06,1
273,Studio Wildcard 아크: 서바이벌 이볼브 SWITCH,"24,000",2018.11,1
274,세가 리틀 드래곤즈 카페 SWITCH,"24,160",2018.08,2
275,제로디브 사이쿄 컬렉션 Vol.3 SWITCH,"71,550",2019.05,1
276,JFI 게임즈 더스크 다이버 SWITCH,"37,530",2019.10,14
277,아크 시스템 웍스 킬라킬 더 게임 -IF SWITCH,"28,000",2019.07,26
278,세가 뿌요뿌요 e스포츠 SWITCH,"19,000",2019.06,0
279,BEEP 코튼 리부트! SWITCH,"36,620",2021.03,15
280,컴파일하트 한계돌파 모에로 크리스탈 H SWITCH,"50,210",2020.05,28
281,그란젤라 절체절명도시 4 플러스 -Summer Memories- SWITCH,"68,410",2020.04,6
282,유비소프트 저스트 댄스 2019 SWITCH,"97,190",2018.10,7
283,건파이어 게임즈 크로노스: 비포 디 애쉬 SWITCH,"9,450",2020.12,18
284,아크 시스템 웍스 진구지 사부로 더블팩 SWITCH,"59,370",2019.12,35
285,에덴 게임즈 기어 클럽 언리미티드2 SWITCH,"46,560",2019.01,10
286,세가 투 포인트 캠퍼스 SWITCH,출시예정,2022.12,0
287,테일즈샵 기적의 분식집 SWITCH,출시예정,2021.12,0
288,EA 번아웃 파라다이스 리마스터 SWITCH,"73,760",2020.06,0
289,Animu Game 포워드 투 더 스카이 SWITCH,"36,880",2021.02,2
290,WayForward 트롤헌터: 아카디아의 수호자 SWITCH,"9,750",2020.10,12
291,코에이 테크모 노부나가의 야망 창조 With 파워 업 키트 SWITCH,"200,700",2017.03,0
292,Nintendo 젤다의 전설 브레스 오브 더 와일드 속편 (가칭) SWITCH,출시예정,2022.12,0
293,Furyu 베이블레이드 버스트 배틀제로 SWITCH,"35,550",2019.02,30
294,유비소프트 모노폴리 SWITCH,"40,000",2017.11,0
295,아크 시스템 웍스 미스트오버 SWITCH,"34,560",2020.01,11
296,시티 커넥션 닌자 자자마루군 컬렉션 SWITCH,"16,830",2019.12,13
297,Nintendo 스플래툰 3 SWITCH,출시예정,2022.12,0
298,프로즌바이트 트라인 4 악몽의 왕자 SWITCH,"27,430",2019.10,12
299,반다이남코 도라에몽 진구의 목장이야기 SWITCH,"74,070",2019.07,17
